N,estrategia,tempo_inser_ms,tempo_busca_ms,colisoes,avgGap,minGap,maxGap
100000,DUPLO,43.166666666666664,49.666666666666664,432997.8333333333,7.500255007650229,0.0,66.66666666666667
100000,ENCADEAMENTO,22.5,27.333333333333332,27477.833333333332,6.044298746422239,1.0,66.16666666666667
100000,LINEAR,240.16666666666666,249.5,8156000.0,6.000195005850176,0.0,63.666666666666664
1000000,DUPLO,964.1666666666666,1057.3333333333333,3277441.6666666665,7.174084438837023,0.0,68.0
1000000,ENCADEAMENTO,346.8333333333333,456.8333333333333,275201.6666666667,6.046583953764337,1.0,88.33333333333333
1000000,LINEAR,21825.666666666668,37072.833333333336,207743403.33333334,7.159066964558181,0.0,82.0
10000000,DUPLO,17316.0,20910.666666666668,43116482.333333336,0.0050019858801509,0.0,3.0
10000000,ENCADEAMENTO,7152.0,7705.666666666667,5035555.333333333,1.5851938583446576,1.0,16.666666666666668
10000000,LINEAR,235382.0,218364.0,1100567194.6666667,0.0050000763800058,0.0,11.333333333333334
